message,district,intent,priority
BREAKING: Water levels in Kelani River (Colombo) have reached 9.5 meters. Critical flood warning issued.,Colombo,Info,Low
SOS: 5 people trapped on a roof in Ja-Ela (Gampaha). Water rising fast. Need boat immediately.,Gampaha,Rescue,High
Update: Kandy road cleared near Peradeniya. Traffic moving slowly. No victims reported.,Kandy,Info,Low
Does anyone have extra dry rations for the camp in Gampaha?,Gampaha,Supply,High
News just in: Kelani river water level is at 7ft.,Colombo,Info,Low
My uncle is stuck in the tree (immediate danger).,None,Rescue,High
Just saw on news that Gampaha town is flooded. Hope everyone is safe.,Gampaha,Info,Low
We are trapped in the attic. 3 kids. Water is entering.,None,Rescue,High
Donation drive happening at the town hall tomorrow.,None,Other,Low
Report: Heavy rains expected to continue for the next 24 hours.,None,Info,Low
URGENT: Landslide in Badulla. 2 houses buried. Need rescue team.,Badulla,Rescue,High
Can someone recharge my phone? 077-1234567.,None,Other,Low
The Navy has deployed 5 boats to the Kelaniya area.,Kelaniya,Info,Low
Help! My grandmother is bedridden and the water is knee deep. Location: Kolonnawa.,Kolonnawa,Rescue,High
Is the highway open? I need to get to the airport.,None,Info,Low
Gampaha hospital is requesting drinking water for patients.,Gampaha,Supply,High
SOS: 10 people stranded on a rock in Kitulgala. Water rising rapidly.,Kitulgala,Rescue,High
Just arrived at the shelter. It's crowded but safe.,None,Other,Low
Warning: Dengue risk is high due to stagnant water.,None,Info,Low
Please share this post to help the victims.,None,Other,Low
My dog is missing in Kaduwela. Has anyone seen him?,Kaduwela,Other,Low
The government has allocated 50 million rupees for relief.,None,Info,Low
We need milk powder for 10 babies at the temple camp.,None,Supply,High
Colombo Fort station is dry. Trains are running on schedule.,Colombo,Info,Low
Emergency: Tree fell on a house in Wattala. 2 injured.,Wattala,Rescue,High
Matara Polhena beach is rough. Do not swim.,Matara,Info,Low
Kalutara bridge is at risk of collapse. Police have closed it.,District,Info,Low
Rescue needed: Pregnant woman in labor at Ja-Ela. Cannot reach hospital.,Ja-Ela,Rescue,High
Galle fort area is safe. Tourists are fine.,Galle,Info,Low
River overflow in Ratnapura. Level 5.0m. Warning issued.,Ratnapura,Info,Low
Wellampitiya is 100% underwater. 5000 people displaced.,Wellampitiya,Supply,High
Just arrived in Galle. Weather is nice.,Galle,Other,Low
Donation needed: 500 packets of rice and curry for lunch.,None,Supply,High
The rain has stopped in Nuwara Eliya.,Nuwara Eliya,Info,Low
SOS: Boat capsized in Gampaha. 3 people in the water.,Gampaha,Rescue,High
I lost my ID card in the flood. What should I do?,None,Other,Low
Update: Electricity restored in some parts of Colombo.,Colombo,Other,Low
We are safe at the school. Thank you for asking.,None,Other,Low
Critical: Landslide warning issued for Kegalle district.,Kegalle,Info,Low
Need volunteers to pack food parcels at the community center.,None,Other,Low
Water is entering the ground floor of the Gampaha hospital.,Gampaha,Info,Low
My car was washed away in the flood.,None,Other,Low
Please pray for Sri Lanka.,None,Other,Low
Helicopter rescue needed for a group of hikers in Knuckles.,Knuckles,Rescue,High
The water level in the Kandy lake is rising.,Kandy,Info,Low
Road block at the entrance to the highway. Avoid the area.,None,Info,Low
We need blankets and clothes for the children.,None,Supply,High
SOS: Snake inside the house. We are on the table.,None,Rescue,High
The army is distributing food in the affected areas.,None,Info,Low
Is there any news about the missing fishermen?,None,Info,Low
